cluster_id,x,y,z,radius,label,points_in,points_out,in_out_ratio
0,-80.87161,246.78738,448.04684,13.856048,subtraction,70,49,0.5882352941176471
1,-310.3944,70.45159,23.999905,23.37669,subtraction,133,86,0.6073059360730594
2,-219.36246,51.424255,303.5838,25.384218,addition,142,193,0.42388059701492536
3,-67.239815,37.588192,222.44351,13.579859,subtraction,31,9,0.775
4,-258.562,101.30676,249.5454,16.352106,subtraction,70,12,0.8536585365853658
5,-235.00993,214.97934,376.669,13.518548,addition,38,42,0.475
6,-283.89594,73.18965,162.83543,7.231112,subtraction,17,15,0.53125
7,-232.67201,101.90971,332.64297,11.804621,addition,43,46,0.48314606741573035
8,-238.49799,210.07733,330.48883,25.047295,addition,125,182,0.40716612377850164
9,-311.12524,246.62924,61.19532,12.508172,subtraction,41,33,0.5540540540540541
10,-95.26076,274.40726,175.49529,32.980698,subtraction,128,81,0.6124401913875598
11,-255.39935,116.573944,181.08278,28.60774,subtraction,95,89,0.5163043478260869
12,-117.79525,243.44691,191.82605,23.142088,subtraction,95,91,0.510752688172043
13,-78.6824,312.01492,45.72099,16.147894,subtraction,67,63,0.5153846153846153
14,-44.181496,94.625145,252.90689,8.153687,subtraction,20,17,0.5405405405405406
15,-50.653255,249.16234,338.19513,14.013817,addition,35,57,0.3804347826086957
16,-228.4168,242.41487,449.98746,16.361692,subtraction,58,22,0.725
17,-227.22978,200.74536,236.61717,24.364456,subtraction,119,115,0.5085470085470085
18,-42.028717,56.67597,199.32094,14.183908,subtraction,52,6,0.896551724137931
19,-307.758,95.86085,51.864235,15.083868,subtraction,53,3,0.9464285714285714
20,-236.4308,39.40319,237.23802,18.477915,subtraction,82,50,0.6212121212121212
21,-203.43166,227.1864,300.50623,19.158077,addition,17,59,0.2236842105263158
22,-59.140564,79.62786,398.6919,14.973421,subtraction,27,10,0.7297297297297297
23,-216.35841,103.17319,250.23811,39.11438,subtraction,127,77,0.6225490196078431
24,-202.32013,270.80194,153.72054,7.2690077,addition,12,19,0.3870967741935484
25,-216.04813,245.78654,355.38312,23.09043,subtraction,113,92,0.551219512195122
26,-216.32649,255.22238,286.67548,11.926315,subtraction,39,4,0.9069767441860465
27,-221.60172,64.43527,393.46432,21.368387,subtraction,79,72,0.5231788079470199
28,-225.58621,75.055336,442.153,14.976895,subtraction,38,11,0.7755102040816326
29,-197.45099,-0.73391205,56.96811,20.457624,addition,78,119,0.39593908629441626
30,-230.35399,311.79254,46.845966,18.895876,subtraction,110,94,0.5392156862745098
31,-276.65427,232.34666,229.11655,16.991276,addition,47,56,0.4563106796116505
32,-253.79295,69.26479,401.85876,8.525529,subtraction,20,7,0.7407407407407407
33,-204.01111,105.748436,154.63144,7.611885,subtraction,35,5,0.875
34,-80.609924,26.739033,154.95721,9.79472,addition,16,22,0.42105263157894735
35,-93.78124,71.976074,381.13214,32.707813,addition,177,215,0.45153061224489793
36,-75.61363,44.475754,292.40076,8.052237,subtraction,18,4,0.8181818181818182
37,-61.871563,31.307798,160.99423,10.618561,subtraction,26,7,0.7878787878787878
38,-101.32335,47.991615,240.20352,7.6086297,subtraction,18,13,0.5806451612903226
39,-30.921003,55.259846,155.85706,7.3748527,addition,21,27,0.4375
40,-310.39978,130.89793,42.932087,23.29855,subtraction,83,36,0.6974789915966386
41,-286.6462,306.3957,21.161985,13.002604,subtraction,36,0,1.0
42,-184.86028,310.46048,21.586548,16.692074,subtraction,94,51,0.6482758620689655
43,-47.452602,206.13702,203.88802,12.289859,subtraction,49,35,0.5833333333333334
44,-257.42758,67.10354,346.5189,8.963539,subtraction,19,5,0.7916666666666666
45,-103.43431,203.28831,189.8251,21.242022,addition,87,107,0.4484536082474227
46,-2.0840998,38.862648,48.278053,13.392021,subtraction,42,8,0.84
47,-24.671455,-0.053995106,30.419397,9.06881,subtraction,20,18,0.5263157894736842
48,-106.453,52.863598,198.72902,15.36331,subtraction,56,9,0.8615384615384616
49,-228.88455,191.9487,173.35193,18.786741,addition,52,81,0.39097744360902253
50,-47.640106,252.45747,275.17862,8.547481,subtraction,20,5,0.8
51,-35.08841,251.57243,194.43155,7.3243318,subtraction,14,4,0.7777777777777778
52,-253.29738,0.40309855,64.46402,10.391737,subtraction,55,52,0.514018691588785
53,-86.71972,102.27426,294.68497,23.274208,subtraction,93,57,0.62
