cluster_id,x,y,z,radius,label,inside_count,outside_count,points_in_cluster
0,-174.4967,87.5738,128.51782,129.12369,addition,564,600,1164
1,-142.02586,40.214134,51.6055,13.915777,subtraction,20,0,20
2,-275.5275,3.7328594,48.465084,38.863827,subtraction,66,5,71
3,-241.82213,250.06537,443.1383,31.719162,addition,27,56,83
4,-166.63727,303.00183,75.00867,45.562145,subtraction,171,47,218
5,-249.67165,305.55667,74.269196,11.486472,subtraction,13,0,13
6,-258.55627,307.2001,94.977684,12.853229,subtraction,16,3,19
7,-246.84987,307.89566,47.433628,7.7482424,subtraction,10,1,11
8,-86.528496,308.44177,42.251778,7.867786,subtraction,11,0,11
9,-307.66306,117.25279,63.66392,24.525877,subtraction,53,4,57
10,-304.61884,115.16121,93.38715,16.78723,subtraction,29,3,32
11,-62.95172,216.06326,375.7943,10.049179,addition,2,11,13
12,-56.70029,206.139,400.03302,10.975198,addition,0,23,23
13,-42.763668,227.52214,321.90326,64.00913,addition,105,237,342
14,-72.674515,209.53728,308.52264,20.192076,subtraction,20,10,30
15,-68.60807,203.77666,278.63702,15.49822,subtraction,12,11,23
16,-53.37589,204.8981,267.28485,16.325048,addition,6,25,31
17,-100.23857,57.34294,249.57585,10.959067,subtraction,15,3,18
18,-32.927204,98.31277,123.78337,11.69815,subtraction,12,2,14
19,-225.25583,6.1243205,123.584465,30.957903,addition,12,130,142
20,-226.84212,6.978695,159.30574,8.805422,addition,0,10,10
21,-222.81352,12.361853,144.08687,3.111336,addition,0,2,2
22,-238.20941,0.6238754,71.374695,22.008038,subtraction,24,19,43
23,-217.04333,-8.757953,96.10427,10.675948,addition,0,14,14
24,-215.99344,-4.601207,76.57464,10.569773,addition,0,14,14
25,-218.60725,-4.9677362,57.982136,4.56841,addition,0,5,5
26,-275.3687,76.2489,211.57742,18.335611,subtraction,23,5,28
27,-279.99915,74.00123,143.43478,10.48141,subtraction,12,1,13
28,-42.69011,4.553796,37.29011,9.260879,subtraction,10,0,10
29,-36.13609,3.6385343,7.4870176,12.0961685,subtraction,20,2,22
30,-216.64336,224.72939,305.14893,9.323717,subtraction,14,0,14
31,-226.426,219.10457,270.70013,14.953757,subtraction,21,0,21
32,-220.17113,209.78719,239.13925,16.946676,subtraction,28,4,32
33,-12.054209,19.010344,143.17618,9.673604,addition,0,10,10
34,-26.724043,20.648054,167.16139,11.025861,addition,0,22,22
35,-26.500591,20.199078,33.289295,11.7173,subtraction,26,0,26
36,-302.57547,23.576303,32.280636,25.59887,subtraction,48,0,48
37,-300.86884,21.888636,81.44039,20.796873,subtraction,36,1,37
38,-307.04184,9.599158,54.68341,9.047886,subtraction,10,3,13
39,-309.24637,22.837648,3.5550735,6.598372,subtraction,5,3,8
40,-151.76279,68.68552,40.300575,7.641626,subtraction,10,0,10
41,-159.44438,57.446808,91.92059,10.18796,subtraction,12,0,12
42,-139.97563,63.311535,50.552933,7.90616,subtraction,10,0,10
43,-25.07213,238.6825,139.15594,77.645134,subtraction,324,253,577
44,-221.7099,199.01082,129.56903,14.787891,subtraction,24,1,25
45,-211.25739,198.72874,97.743355,12.076758,subtraction,22,0,22
46,-199.49106,203.60869,113.702736,8.544184,subtraction,9,2,11
47,-57.45882,98.33502,270.4284,11.627111,subtraction,11,3,14
48,-46.903297,96.97305,168.15993,10.511692,subtraction,13,0,13
49,-56.47047,95.63265,187.54277,9.116841,subtraction,10,0,10
50,-95.20628,100.21451,368.7408,62.77422,addition,22,207,229
51,-128.18839,217.33023,100.50094,25.38388,subtraction,60,3,63
52,-136.07875,213.23685,65.25584,25.786983,subtraction,64,0,64
53,-123.303535,208.84627,74.93994,13.423505,subtraction,14,0,14
54,-141.60265,204.61842,98.623474,7.8774695,green,3,3,6
55,-71.10003,275.79285,240.07866,96.602264,addition,296,401,697
56,-202.82199,116.13071,115.097305,10.799194,subtraction,13,5,18
57,-224.4813,126.25657,119.09515,9.018723,subtraction,6,4,10
58,-243.22343,125.64885,114.99897,32.23423,subtraction,53,20,73
59,-259.06662,120.08003,99.53562,29.635187,subtraction,47,9,56
60,-58.884697,188.27843,126.47477,16.125671,subtraction,13,10,23
61,-249.65501,185.33154,115.65536,15.3463335,subtraction,22,11,33
62,-184.85292,217.35686,117.09488,13.9138365,addition,6,12,18
